"Timestamp","Total score","Koliko godina imate?","Koliko godina imate? [Score]","Koliko godina imate? [Feedback]","Spol?","Spol? [Score]","Spol? [Feedback]","Koji je vaš trenutni status zaposlenja?","Koji je vaš trenutni status zaposlenja? [Score]","Koji je vaš trenutni status zaposlenja? [Feedback]","Stepen obrazovanja?","Stepen obrazovanja? [Score]","Stepen obrazovanja? [Feedback]","Koliko je važno za vas članstvo Bosne i Hercegovine u Europskoj uniji?","Koliko je važno za vas članstvo Bosne i Hercegovine u Europskoj uniji? [Score]","Koliko je važno za vas članstvo Bosne i Hercegovine u Europskoj uniji? [Feedback]","Koliko ste upoznati s procesom pridruživanja Bosne i Hercegovine Europskoj uniji?","Koliko ste upoznati s procesom pridruživanja Bosne i Hercegovine Europskoj uniji? [Score]","Koliko ste upoznati s procesom pridruživanja Bosne i Hercegovine Europskoj uniji? [Feedback]","Koliko biste ocijenili trenutnu razinu podrške stanovništva Bosne i Hercegovine za članstvo u Europskoj uniji?","Koliko biste ocijenili trenutnu razinu podrške stanovništva Bosne i Hercegovine za članstvo u Europskoj uniji? [Score]","Koliko biste ocijenili trenutnu razinu podrške stanovništva Bosne i Hercegovine za članstvo u Europskoj uniji? [Feedback]","Koliko ste zadovoljni trenutnom razinom transparentnosti i odgovornosti vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?","Koliko ste zadovoljni trenutnom razinom transparentnosti i odgovornosti vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji? [Score]","Koliko ste zadovoljni trenutnom razinom transparentnosti i odgovornosti vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji? [Feedback]","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu života građana Bosne i Hercegovine?","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu života građana Bosne i Hercegovine? [Score]","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu života građana Bosne i Hercegovine? [Feedback]","Na skali od 1 do 5, koliko ste optimistični u vezi s budućnošću Bosne i Hercegovine kao članice Europske unije?","Na skali od 1 do 5, koliko ste optimistični u vezi s budućnošću Bosne i Hercegovine kao članice Europske unije? [Score]","Na skali od 1 do 5, koliko ste optimistični u vezi s budućnošću Bosne i Hercegovine kao članice Europske unije? [Feedback]","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati ekonomsku situaciju?","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati ekonomsku situaciju? [Score]","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati ekonomsku situaciju? [Feedback]","Na skali od 1 do 5, koliko ste zadovoljni dosadašnjim napretkom Bosne i Hercegovine u procesu pridruživanja Europskoj uniji?","Na skali od 1 do 5, koliko ste zadovoljni dosadašnjim napretkom Bosne i Hercegovine u procesu pridruživanja Europskoj uniji? [Score]","Na skali od 1 do 5, koliko ste zadovoljni dosadašnjim napretkom Bosne i Hercegovine u procesu pridruživanja Europskoj uniji? [Feedback]","Koliko često pratite vijesti ili informacije o procesu pridruživanja Bosne i Hercegovine Europskoj uniji?","Koliko često pratite vijesti ili informacije o procesu pridruživanja Bosne i Hercegovine Europskoj uniji? [Score]","Koliko često pratite vijesti ili informacije o procesu pridruživanja Bosne i Hercegovine Europskoj uniji? [Feedback]","Koliko smatrate da je trenutna politička situacija u Bosni i Hercegovini povoljna za proces pridruživanja Europskoj uniji?","Koliko smatrate da je trenutna politička situacija u Bosni i Hercegovini povoljna za proces pridruživanja Europskoj uniji? [Score]","Koliko smatrate da je trenutna politička situacija u Bosni i Hercegovini povoljna za proces pridruživanja Europskoj uniji? [Feedback]","Vjerujete li da će članstvo u Europskoj uniji donijeti većoj stabilnosti i sigurnosti Bosni i Hercegovini?","Vjerujete li da će članstvo u Europskoj uniji donijeti većoj stabilnosti i sigurnosti Bosni i Hercegovini? [Score]","Vjerujete li da će članstvo u Europskoj uniji donijeti većoj stabilnosti i sigurnosti Bosni i Hercegovini? [Feedback]","Kako biste ocijenili dosadašnju razinu političke volje i angažmana vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji?","Kako biste ocijenili dosadašnju razinu političke volje i angažmana vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji? [Score]","Kako biste ocijenili dosadašnju razinu političke volje i angažmana vlasti u Bosni i Hercegovini u procesu pridruživanja Europskoj uniji? [Feedback]","Koliko vjerujete da će članstvo u Europskoj uniji unaprijediti političku stabilnost u Bosni i Hercegovini?","Koliko vjerujete da će članstvo u Europskoj uniji unaprijediti političku stabilnost u Bosni i Hercegovini? [Score]","Koliko vjerujete da će članstvo u Europskoj uniji unaprijediti političku stabilnost u Bosni i Hercegovini? [Feedback]","Koliko je važno za vas da Bosna i Hercegovina postane članica Europske unije u sljedećih 5 godina?","Koliko je važno za vas da Bosna i Hercegovina postane članica Europske unije u sljedećih 5 godina? [Score]","Koliko je važno za vas da Bosna i Hercegovina postane članica Europske unije u sljedećih 5 godina? [Feedback]","Smatrate li da će članstvo u Europskoj uniji utjecati na nacionalni identitet Bosne i Hercegovine?","Smatrate li da će članstvo u Europskoj uniji utjecati na nacionalni identitet Bosne i Hercegovine? [Score]","Smatrate li da će članstvo u Europskoj uniji utjecati na nacionalni identitet Bosne i Hercegovine? [Feedback]","Koliko smatrate da su građani Bosne i Hercegovine informisani o procesu pridruživanja Europskoj uniji?","Koliko smatrate da su građani Bosne i Hercegovine informisani o procesu pridruživanja Europskoj uniji? [Score]","Koliko smatrate da su građani Bosne i Hercegovine informisani o procesu pridruživanja Europskoj uniji? [Feedback]","Koliko smatrate da će članstvo u Europskoj uniji utjecati na otvaranje novih radnih mjesta u Bosni i Hercegovini?","Koliko smatrate da će članstvo u Europskoj uniji utjecati na otvaranje novih radnih mjesta u Bosni i Hercegovini? [Score]","Koliko smatrate da će članstvo u Europskoj uniji utjecati na otvaranje novih radnih mjesta u Bosni i Hercegovini? [Feedback]","Na skali od 1 do 5, koliko vjerujete da su trenutni politički lideri sposobni provesti reforme potrebne za članstvo Bosne i Hercegovine u Europskoj uniji?","Na skali od 1 do 5, koliko vjerujete da su trenutni politički lideri sposobni provesti reforme potrebne za članstvo Bosne i Hercegovine u Europskoj uniji? [Score]","Na skali od 1 do 5, koliko vjerujete da su trenutni politički lideri sposobni provesti reforme potrebne za članstvo Bosne i Hercegovine u Europskoj uniji? [Feedback]","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu javnih usluga (zdravstvo, obrazovanje, javna infrastruktura) u Bosni i Hercegovini?","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu javnih usluga (zdravstvo, obrazovanje, javna infrastruktura) u Bosni i Hercegovini? [Score]","Koliko smatrate da će članstvo u Europskoj uniji poboljšati kvalitetu javnih usluga (zdravstvo, obrazovanje, javna infrastruktura) u Bosni i Hercegovini? [Feedback]","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati sudsku situaciju u zemlji?","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati sudsku situaciju u zemlji? [Score]","Koliko smatrate da će članstvo Bosne i Hercegovine u Europskoj uniji poboljšati sudsku situaciju u zemlji? [Feedback]","Da li ste za to da se Bosna i Hercegovina pridruži Europskoj Uniji?","Da li ste za to da se Bosna i Hercegovina pridruži Europskoj Uniji? [Score]","Da li ste za to da se Bosna i Hercegovina pridruži Europskoj Uniji? [Feedback]"
"2024/06/01 12:30:27 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Vrlo važno","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","4","-- / 0","","5","-- / 0","","3","-- / 0","","2","-- / 0","","Jednom sedmično","-- / 0","","3","-- / 0","","Potpuno vjerujem","-- / 0","","Vrlo visoka","-- / 0","","Potpuno vjerujem","-- / 0","","Vrlo važno","-- / 0","","Značajno će ga promijeniti","-- / 0","","2","-- / 0","","Značajno će povećati broj radnih mjesta","-- / 0","","2","-- / 0","","Značajno će poboljšati","-- / 0","","Značajno poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:32:12 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","Rijetklo","-- / 0","","2","-- / 0","","Djelomično vjerujem","-- / 0","","Umjerena","-- / 0","","Djelomično vjerujem","-- / 0","","Prilično važno","-- / 0","","Neće imati utjecaja","-- / 0","","3","-- / 0","","Donekle će povećati broj radnih mjesta","-- / 0","","1","-- / 0","","Donekle će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:32:42 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Nimalo važno","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","1","-- / 0","","Rijetklo","-- / 0","","1","-- / 0","","Neutralan(a)","-- / 0","","Umjerena","-- / 0","","Potpuno vjerujem","-- / 0","","Ni važno ni nevažno","-- / 0","","Značajno će ga promijeniti","-- / 0","","2","-- / 0","","Značajno će smanjiti broj radnih mjesta","-- / 0","","5","-- / 0","","Donekle će poboljšati","-- / 0","","Neće utjecati","-- / 0","","NE","-- / 0",""
"2024/06/01 12:33:18 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Prilično važno","-- / 0","","3","-- / 0","","2","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","Jednom sedmično","-- / 0","","2","-- / 0","","Neutralan(a)","-- / 0","","Niska","-- / 0","","Djelomično ne vjerujem","-- / 0","","Malo važno","-- / 0","","Donekle će ga očuvati","-- / 0","","3","-- / 0","","Donekle će povećati broj radnih mjesta","-- / 0","","3","-- / 0","","Neće imati utjecaja","-- / 0","","Neće utjecati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:33:29 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","1","-- / 0","","3","-- / 0","","1","-- / 0","","3","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","Rijetklo","-- / 0","","3","-- / 0","","Djelomično vjerujem","-- / 0","","Niska","-- / 0","","Neutralan(a)","-- / 0","","Ni važno ni nevažno","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Donekle će smanjiti broj radnih mjesta","-- / 0","","1","-- / 0","","Donekle će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:34:15 am EEST","0.00 / 0","18-24","-- / 0","","Ne želim odgovoriti","-- / 0","","Zaposlen(a) na pola radnog vremena","-- / 0","","Viša škola/Fakultet","-- / 0","","Ni važno ni nevažno","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","Svaki dan","-- / 0","","3","-- / 0","","Neutralan(a)","-- / 0","","Umjerena","-- / 0","","Neutralan(a)","-- / 0","","Ni važno ni nevažno","-- / 0","","Neće imati utjecaja","-- / 0","","3","-- / 0","","Neće imati utjecaja","-- / 0","","3","-- / 0","","Neće imati utjecaja","-- / 0","","Neće utjecati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:34:27 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","1","-- / 0","","2","-- / 0","","2","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","Gotovo nikad","-- / 0","","2","-- / 0","","Djelomično vjerujem","-- / 0","","Umjerena","-- / 0","","Djelomično vjerujem","-- / 0","","Malo važno","-- / 0","","Neće imati utjecaja","-- / 0","","1","-- / 0","","Donekle će povećati broj radnih mjesta","-- / 0","","1","-- / 0","","Značajno će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:34:47 am EEST","0.00 / 0","25-34","-- / 0","","Muško","-- / 0","","Zaposlen(a) na pola radnog vremena","-- / 0","","Viša škola/Fakultet","-- / 0","","Prilično važno","-- / 0","","3","-- / 0","","2","-- / 0","","4","-- / 0","","2","-- / 0","","4","-- / 0","","5","-- / 0","","1","-- / 0","","Jednom sedmično","-- / 0","","5","-- / 0","","Uopće ne vjerujem","-- / 0","","Niska","-- / 0","","Djelomično vjerujem","-- / 0","","Ni važno ni nevažno","-- / 0","","Značajno će ga očuvati","-- / 0","","2","-- / 0","","Donekle će povećati broj radnih mjesta","-- / 0","","4","-- / 0","","Donekle će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:35:24 am EEST","0.00 / 0","45-54","-- / 0","","Žensko","-- / 0","","Zaposlen(a) na pola radnog vremena","-- / 0","","Master","-- / 0","","Prilično važno","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","Svaki dan","-- / 0","","1","-- / 0","","Potpuno vjerujem","-- / 0","","Visoka","-- / 0","","Neutralan(a)","-- / 0","","Nimalo važno","-- / 0","","Značajno će ga očuvati","-- / 0","","1","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Značajno će pogoršati","-- / 0","","Neće utjecati","-- / 0","","NE","-- / 0",""
"2024/06/01 12:37:34 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Viša škola/Fakultet","-- / 0","","Prilično važno","-- / 0","","3","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","2","-- / 0","","Jednom sedmično","-- / 0","","1","-- / 0","","Neutralan(a)","-- / 0","","Umjerena","-- / 0","","Djelomično vjerujem","-- / 0","","Prilično važno","-- / 0","","Donekle će ga promijeniti","-- / 0","","1","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Donekle će poboljšati","-- / 0","","Značajno poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:39:21 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Viša škola/Fakultet","-- / 0","","Vrlo važno","-- / 0","","2","-- / 0","","2","-- / 0","","1","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","Nekoliko puta sedmično","-- / 0","","2","-- / 0","","Djelomično vjerujem","-- / 0","","Umjerena","-- / 0","","Neutralan(a)","-- / 0","","Prilično važno","-- / 0","","Donekle će ga promijeniti","-- / 0","","2","-- / 0","","Neće imati utjecaja","-- / 0","","3","-- / 0","","Donekle će pogoršati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:40:28 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Prilično važno","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","4","-- / 0","","3","-- / 0","","5","-- / 0","","2","-- / 0","","Jednom sedmično","-- / 0","","1","-- / 0","","Neutralan(a)","-- / 0","","Umjerena","-- / 0","","Neutralan(a)","-- / 0","","Prilično važno","-- / 0","","Donekle će ga očuvati","-- / 0","","2","-- / 0","","Značajno će povećati broj radnih mjesta","-- / 0","","2","-- / 0","","Donekle će poboljšati","-- / 0","","Značajno poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:40:59 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Viša škola/Fakultet","-- / 0","","Vrlo važno","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","Rijetko","-- / 0","","5","-- / 0","","Potpuno vjerujem","-- / 0","","Vrlo visoka","-- / 0","","Potpuno vjerujem","-- / 0","","Vrlo važno","-- / 0","","Donekle će ga promijeniti","-- / 0","","2","-- / 0","","Značajno će povećati broj radnih mjesta","-- / 0","","3","-- / 0","","Značajno će poboljšati","-- / 0","","Značajno poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:41:09 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","1","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","Gotovo nikad","-- / 0","","2","-- / 0","","Djelomično vjerujem","-- / 0","","Niska","-- / 0","","Neutralan(a)","-- / 0","","Ni važno ni nevažno","-- / 0","","Donekle će ga očuvati","-- / 0","","2","-- / 0","","Donekle će povećati broj radnih mjesta","-- / 0","","2","-- / 0","","Neće imati utjecaja","-- / 0","","Neće utjecati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:42:31 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Vrlo važno","-- / 0","","3","-- / 0","","2","-- / 0","","1","-- / 0","","4","-- / 0","","3","-- / 0","","5","-- / 0","","1","-- / 0","","Rijetko","-- / 0","","1","-- / 0","","Djelomično vjerujem","-- / 0","","Niska","-- / 0","","Potpuno vjerujem","-- / 0","","Prilično važno","-- / 0","","Donekle će ga promijeniti","-- / 0","","2","-- / 0","","Značajno će povećati broj radnih mjesta","-- / 0","","2","-- / 0","","Značajno će poboljšati","-- / 0","","Značajno poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:42:33 am EEST","0.00 / 0","25-34","-- / 0","","Muško","-- / 0","","Zaposlen(a) na puno radno vrijeme","-- / 0","","Srednja škola","-- / 0","","Prilično važno","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","Rijetko","-- / 0","","4","-- / 0","","Djelomično vjerujem","-- / 0","","Umjerena","-- / 0","","Djelomično vjerujem","-- / 0","","Ni važno ni nevažno","-- / 0","","Značajno će ga očuvati","-- / 0","","2","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Donekle će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:43:07 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","3","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","Rijetko","-- / 0","","3","-- / 0","","Neutralan(a)","-- / 0","","Umjerena","-- / 0","","Neutralan(a)","-- / 0","","Ni važno ni nevažno","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Donekle će smanjiti broj radnih mjesta","-- / 0","","2","-- / 0","","Donekle će pogoršati","-- / 0","","Blago pogoršati","-- / 0","","NE","-- / 0",""
"2024/06/01 12:44:21 am EEST","0.00 / 0","18-24","-- / 0","","Muško","-- / 0","","Student","-- / 0","","Srednja škola","-- / 0","","Ni važno ni nevažno","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","Rijetko","-- / 0","","3","-- / 0","","Djelomično vjerujem","-- / 0","","Niska","-- / 0","","Djelomično vjerujem","-- / 0","","Malo važno","-- / 0","","Neće imati utjecaja","-- / 0","","2","-- / 0","","Neće imati utjecaja","-- / 0","","1","-- / 0","","Donekle će poboljšati","-- / 0","","Blago poboljšati","-- / 0","","DA","-- / 0",""
"2024/06/01 12:45:16 am EEST","0.00 / 0","18-24","-- / 0","","Žensko","-- / 0","","Student","-- / 0","","Viša škola/Fakultet","-- / 0","","Ni važno ni nevažno","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","3","-- / 0","","Rijetko","-- / 0","","4","-- / 0","","Neutralan(a)","-- / 0","","Vrlo visoka","-- / 0","","Neutralan(a)","-- / 0","","Ni važno ni nevažno","-- / 0","","Neće imati utjecaja","-- / 0","","4","-- / 0","","Donekle će smanjiti broj radnih mjesta","-- / 0","","2","-- / 0","","Donekle će poboljšati","-- / 0","","Neće utjecati","-- / 0","","DA","-- / 0",""
